Notetype,NoteTemplate,counts
Phone Encounter,Phone Encounter,136143
Progress Note,Immunization Note,109132
Progress Note,Gen Clinic,58873
Progress Note,Lab Only,50162
Progress Note,a CPC Return Patient Note,45651
Phone Encounter,Phone Encounter2,38303
Progress Note,TB Skin Test,32916
Progress Note,WIC Lab,26159
Admit Note,SCHD A Blank SOAP NOTE,26061
Progress Note,STD Encounter - Form 2808,24476
Progress Note,APC - Sick Visit Note,21868
Progress Note,Follow Up,20311
Progress Note,Maternal Flow,18801
Progress Note,Immunization-Flu Note,18508
Progress Note,TB Skin Test Reading,17707
Progress Note,COVID Mass Immunization Note,16510
Progress Note,IM/TST Encounter-HCDPH,14655
Progress Note,Barton Lab Only,13314
Progress Note,CVS Office Note,13127
Progress Note,CH - Primary Care Visit,12983
Progress Note,Immunization Note NCHD,12580
Progress Note,MH - 1 Return OB,12579
General Note,General Nurse Note,12528
H&P Note,COVID Administration Note,12305
Admit Note,STD Encounter - Form 2808,11973
Progress Note,"FP, Limited Visit",10855
Progress Note,APC - Sick/Physical Visit Note,9524
Admit Note,Covid Screening,9243
Progress Note,Immunization Note - HC,8494
Phone Encounter,COVID-19 Confirmed Follow- Up,8484
Progress Note,Lab Visit,8413
Progress Note,IMMUNIZATION NOTE,8250
Progress Note,TB Skin Test Reading ,8038
Progress Note,MH - PN Nutrition Assessment,7998
Progress Note,CH ACUTE CARE Visit.HCDPH,7981
Progress Note,MH-RETURN PRENATAL.HCDPH,7863
Progress Note,PPD Skin Test,7684
Nurse Admin ,Nurse Admin,7666
Admit Note,ZZZZZZZZSCHD PN Return Visit,7560
Progress Note,MH Return Note RPM,7504
Progress Note,Gen STD Exam,7345
Progress Note,FP Female Flow 2814F,7321
Phone Encounter,Telephone Encounter,7220
Progress Note,ZCOVID-19 CURBSIDE NURSE VISIT,7163
Progress Note,Dr. Glass Note,6989
H&P Note,PROVIDER NOTE,6604
FP History ,FP Female HX/INITIAL/ANN,6479
Phone Encounter,Phone Encounter - WCHD,6429
Progress Note,Covid-19 Vaccination,6419
Primary Care,Primary Care Visit,6285
Progress Note,BCCCP Visit,6270
H&P Note,Initial Evaluation,6117
Progress Note,Sick Visit form SCHD,5999
Progress Note,TB Skin Test Reading. HCDPH,5995
Progress Note,FP - Contraceptive Supply,5852
Progress Note,Wilkes Co Visit/Revisit Note,5806
Progress Note,Maternal Return Note,5740
Progress Note,Phone Encounter,5708
Admit Note,RM - HandP,5642
Progress Note,SCHD Immunization Note,5628
Progress Note,CD - STD Exam and Tx,5614
Progress Note,AH- Sick Visit Note,5531
Progress Note,ASA Patient Progress Note,5525
Nurses Note,Nurses Note NCHD,5511
Phone Encounter,Progress Note,5497
Progress Note,SCHD COVID Vaccine,5359
Progress Note,STD Visit,5328
