Notetype,NoteTemplate,counts,Percentage,Cumulative Percentage,
Phone Encounter,Phone Encounter,136143,7.048523151,7.048523151,
Progress Note,Immunization Note,109132,5.650084312,12.69860746,
Progress Note,Gen Clinic,58873,3.048028202,15.74663567,
Progress Note,Lab Only,50162,2.597034135,18.3436698,
Progress Note,a CPC Return Patient Note,45651,2.36348641,20.70715621,
Phone Encounter,Phone Encounter2,38303,1.983058859,22.69021507,
Progress Note,TB Skin Test,32916,1.70415804,24.39437311,
Progress Note,WIC Lab,26159,1.354328295,25.74870141,
Admit Note,SCHD A Blank SOAP NOTE,26061,1.349254547,27.09795595,
Progress Note,STD Encounter - Form 2808,24476,1.26719444,28.36515039,
Progress Note,APC - Sick Visit Note,21868,1.132170617,29.49732101,
Progress Note,Follow Up,20311,1.051560152,30.54888116,
Progress Note,Maternal Flow,18801,0.973383015,31.52226418,
Progress Note,Immunization-Flu Note,18508,0.958213544,32.48047772,
Progress Note,TB Skin Test Reading,17707,0.91674342,33.39722114,
Progress Note,COVID Mass Immunization Note,16510,0.854771213,34.25199235,
Progress Note,IM/TST Encounter-HCDPH,14655,0.758732412,35.01072476,
Progress Note,Barton Lab Only,13314,0.689304902,35.70002967,
Progress Note,CVS Office Note,13127,0.679623362,36.37965303, informative but buttons as well
Progress Note,CH - Primary Care Visit,12983,0.672168059,37.05182109,
Progress Note,Immunization Note NCHD,12580,0.651303565,37.70312465,
Progress Note,MH - 1 Return OB,12579,0.651251792,38.35437644,
General Note,General Nurse Note,12528,0.648611372,39.00298782,
H&P Note,COVID Administration Note,12305,0.637066007,39.64005382,
Admit Note,STD Encounter - Form 2808,11973,0.619877391,40.25993121,
Progress Note,"FP, Limited Visit",10855,0.561995246,40.82192646,
Progress Note,APC - Sick/Physical Visit Note,9524,0.493085465,41.31501193,
Admit Note,Covid Screening,9243,0.47853727,41.7935492,
Progress Note,Immunization Note - HC,8494,0.439759339,42.23330853,
Phone Encounter,COVID-19 Confirmed Follow- Up,8484,0.439241609,42.67255014,
Progress Note,Lab Visit,8413,0.435565731,43.10811587,
Progress Note,IMMUNIZATION NOTE,8250,0.427126742,43.53524262,
Progress Note,TB Skin Test Reading ,8038,0.416150879,43.95139349,
Progress Note,MH - PN Nutrition Assessment,7998,0.414079961,44.36547346,
Progress Note,CH ACUTE CARE Visit.HCDPH,7981,0.413199821,44.77867328,
